STNS\WLS,0,0.5,1,2,3,4,5,6,7,8,9,10,10.45,12,14,16
0,0,0,0,0,0,0,0,0,0,0,2468,4300,4943,,,
0.25,0,0,0,0,0,0,0,0,0,2607,4738,6068,6566,,,
0.5,0,644,881,1135,1266,1311,1381,1697,2840,4864,6364,7416,7816,,,
1,430,2113,2759,3543,4013,4428,4951,5771,6886,7884,8667,9313,9571,,,
1.5,1792,4449,5406,6530,7299,7923,8479,8997,9464,9882,10251,10579,10715,,,
2,3952,6847,7882,9046,9683,10118,10454,10714,10911,11074,11213,11325,11364,,,
3,7617,9693,10321,10995,11313,11434,11450,11450,11450,11450,11450,11450,11450,,,
4,8450,10108,10686,11278,11450,11450,11450,11450,11450,11450,11450,11450,11450,,,
5,8450,10108,10686,11278,11450,11450,11450,11450,11450,11450,11450,11450,11450,,,
6,8450,10108,10686,11278,11450,11450,11450,11450,11450,11450,11450,11450,11450,,,
7,8450,10108,10686,11278,11450,11450,11450,11450,11450,11450,11450,11450,11450,,,
8,6415,8390,9145,10015,10530,10852,11054,11210,11314,11360,11382,11413,11439,,,
8.5,4195,6300,7138,8162,8830,9295,9641,9953,10215,10412,10585,10773,10874,,,
9,1792,3733,4510,5550,6283,6830,7252,7610,7922,8205,8489,8804,8963,,,
9.5,0,1202,1814,2684,3310,3781,4121,4355,4521,4661,4825,5065,5211,,,
9.75,0,225,708,1510,2110,2545,2817,2929,2919,2825,2738,2755,2821,,,
10,0,0,0,466,1160,1646,1959,2136,2139,1927,1421,540,0,,,